"Algorithm type","Parameters","Index size","Build Time"
10000,0.99,0.99153,1278.68,62301,519819,10,50
10000,0.99999,1,628.686,141132,1000135,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,5.57704
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51601,21664.3,10365,15595,10,1
10000,0.9,0.90995,4656.16,50681,60999,10,5
10000,0.97,0.97175,2780.28,100558,114295,10,10
10000,0.98,0.98915,1377.58,199342,219414,10,20
10000,0.99,0.99178,571.486,62592,514617,10,50
10000,0.99999,1,346.299,141137,1000141,10,200


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.733414
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.5119,60273.3,10325,17549,10,1
10000,0.9,0.911,12370.9,50901,64230,10,5
10000,0.97,0.97456,6211.57,100913,116934,10,10
10000,0.99,0.99099,3070.94,199736,220141,10,20
10000,0.99999,1,630.51,141133,1000135,10,100


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.757872
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.5136,61073.6,10418,17520,10,1
10000,0.9,0.91005,12528.2,51096,63543,10,5
10000,0.97,0.9731,6324.71,101365,118738,10,10
10000,0.99,0.9904,3247.49,200639,227467,10,20
10000,0.99999,1,672.859,141145,1000148,10,500


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.721542
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.5237,60481.8,10532,19403,10,1
10000,0.9,0.90546,12167.5,51146,67296,10,5
10000,0.95,0.96819,6002.71,101217,118968,10,10
10000,0.98,0.98508,3148.41,200153,222529,10,20
10000,0.99999,1,655.867,141138,1000144,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.748299
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51738,54562.8,10421,18320,10,1
10000,0.9,0.90799,11455.8,50777,67942,10,5
10000,0.97,0.97124,5819,100467,120174,10,10
10000,0.98,0.98929,3008.02,198785,221980,10,20
10000,0.99,0.99218,1249.49,62734,523642,10,50
10000,0.99999,1,670.261,141133,1000136,10,500


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.731218
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51927,60174.6,10378,16006,10,1
10000,0.9,0.91231,12270.9,50943,61741,10,5
10000,0.97,0.97387,6235.63,100952,117282,10,10
10000,0.99,0.99184,2988.46,199700,224023,10,20
10000,0.99999,1,627.967,141132,1000137,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.750275
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.50861,55855.6,10283,18817,10,1
10000,0.9,0.90974,11657.8,50729,66248,10,5
10000,0.97,0.97108,5823.16,100410,118199,10,10
10000,0.98,0.98873,3067.28,198590,220848,10,20
10000,0.99,0.99142,1291.43,62022,521535,10,50
10000,0.99999,1,639.841,141134,1000137,10,200


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.723908
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51984,59980.1,10613,18045,10,1
10000,0.9,0.90893,12541.4,51264,69521,10,5
10000,0.97,0.971,6332.3,101232,123108,10,10
10000,0.98,0.98887,3295.68,199850,227778,10,20
10000,0.99,0.99155,1343.04,61510,535447,10,50
10000,0.99999,1,669.948,141133,1000136,10,100


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.764852
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51987,63668.3,10463,17575,10,1
10000,0.9,0.9109,12975.5,51343,64879,10,5
10000,0.97,0.97186,6563.14,101674,122495,10,10
10000,0.98,0.98962,3304.87,200764,233171,10,20
10000,0.99,0.992,1403.09,63468,540357,10,50
10000,0.99999,1,680.025,141127,1000133,10,100


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.755178
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.50785,58590.5,10360,20103,10,1
10000,0.9,0.90717,12200.7,50907,69426,10,5
10000,0.97,0.972,6189.62,100687,120992,10,10
10000,0.99,0.99061,3155.38,198821,223748,10,20
10000,0.99999,1,633.549,141136,1000138,10,100


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.72993
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51504,61832.6,10628,16799,10,1
10000,0.9,0.9019,12580,52116,69829,10,5
10000,0.95,0.96626,6432.63,103036,128768,10,10
10000,0.98,0.98376,3258.73,202563,245362,10,20
10000,0.99999,1,678.953,141128,1000131,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,1.08923
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51492,44030.8,10396,17909,10,1
10000,0.9,0.90864,9384.79,50941,65799,10,5
10000,0.97,0.97165,4781.05,100805,120149,10,10
10000,0.98,0.98925,2479.11,199213,226296,10,20
10000,0.99,0.99207,987.433,63293,536596,10,50
10000,0.99999,1,501.565,141138,1000141,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,3.32384
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.50952,18056.6,10371,17241,10,1
10000,0.9,0.91112,4342.67,50965,63114,10,5
10000,0.97,0.97179,2871.92,101062,114626,10,10
10000,0.98,0.98887,1960.13,200547,219883,10,20
10000,0.99,0.99152,910.851,65681,526431,10,50
10000,0.99999,1,397.599,141140,1000144,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.809452
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.51098,61150.9,10338,18679,10,1
10000,0.9,0.90935,12313.8,51012,64940,10,5
10000,0.97,0.97135,6203.23,101042,119575,10,10
10000,0.98,0.98923,3064.32,199888,231903,10,20
10000,0.99,0.99201,1280.65,61899,543761,10,50
10000,0.99999,1,658.569,141131,1000134,10,1000


"Algorithm type","Parameters","Index size","Build Time"
"Kmeans","Num_clusters = 100",1000000,0.753705
"Num queries","Target recall","Actual recall","QPS","Average Cmps","Tail Cmps","k","n_probes"
10000,0.5,0.52282,51172.1,10455,19927,10,1
10000,0.9,0.9166,10530.3,50759,67704,10,5
10000,0.97,0.97856,5315.13,100470,119858,10,10
